Numero Elementos       Media de tiempos reales
5000    402425
5500    824077
6000    1.34529e+06
6500    1.96942e+06
7000    2.66358e+06
7500    3.50316e+06
8000    4.43177e+06
8500    5.51752e+06
9000    6.73446e+06
9500    7.9814e+06
10000    9.40263e+06
10500    1.09472e+07
11000    1.26103e+07
11500    1.43405e+07
12000    1.62429e+07
12500    1.83569e+07
13000    2.08277e+07
13500    2.32712e+07
14000    2.59241e+07
14500    2.88729e+07
15000    3.19552e+07
15500    3.54131e+07
16000    3.90154e+07
16500    4.29268e+07
17000    4.69644e+07
17500    5.11204e+07
18000    5.56922e+07
18500    6.05311e+07
19000    6.55732e+07
19500    7.08939e+07
20000    7.64698e+07
20500    8.24278e+07
21000    8.87073e+07
21500    9.50617e+07
22000    1.0193e+08
22500    1.08887e+08
23000    1.16142e+08
23500    1.23812e+08
24000    1.31814e+08
24500    1.40236e+08
25000    1.48978e+08
