Numero Elementos	Media de tiempos reales
5000	239280
5500	454863
6000	714801
6500	1.0155e+06
7000	1.36984e+06
7500	1.76616e+06
8000	2.18843e+06
8500	2.68226e+06
9000	3.2455e+06
9500	3.86248e+06
10000	4.54212e+06
10500	5.26176e+06
11000	6.04614e+06
11500	6.93831e+06
12000	7.84997e+06
12500	8.86817e+06
13000	9.94857e+06
13500	1.11662e+07
14000	1.24527e+07
14500	1.38343e+07
15000	1.53195e+07
15500	1.68746e+07
16000	1.85544e+07
16500	2.03781e+07
17000	2.22537e+07
17500	2.42558e+07
18000	2.64338e+07
18500	2.86738e+07
19000	3.10367e+07
19500	3.351e+07
20000	3.61181e+07
20500	3.88613e+07
21000	4.17175e+07
21500	4.48214e+07
22000	4.79791e+07
22500	5.11885e+07
23000	5.45698e+07
23500	5.88442e+07
24000	6.26565e+07
24500	6.67644e+07
25000	7.0863e+07
